Player,Season,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing_Position,Minute,At_score,Type,Goal_assist
Lionel Messi,14/15,LaLiga,23,2015-02-15,H,FC Barcelona,Levante UD,5:00,CF,65,4:00,Penalty,
Cristiano Ronaldo,14/15,UEFA Champions League,last 16,2015-02-18,A,Real Madrid,FC Schalke 04,0:02,LW,26,0:01,Header,Daniel Carvajal
Cristiano Ronaldo,14/15,LaLiga,24,2015-02-22,A,Real Madrid,Elche CF,0:02,CF,69,0:02,Header,Isco
Lionel Messi,14/15,LaLiga,25,2015-02-28,A,FC Barcelona,Granada CF,1:03,RW,70,1:03,Right-footed shot,Luis Suarez
Cristiano Ronaldo,14/15,LaLiga,25,2015-03-01,H,Real Madrid,Villarreal CF,1:01,CF,52,1:00,Penalty,
Lionel Messi,14/15,LaLiga,26,2015-03-08,H,FC Barcelona,Rayo Vallecano,6:01,RW,56,3:00,Penalty,
Lionel Messi,14/15,LaLiga,26,2015-03-08,H,FC Barcelona,Rayo Vallecano,6:01,RW,63,4:00,Tap-in,
Lionel Messi,14/15,LaLiga,26,2015-03-08,H,FC Barcelona,Rayo Vallecano,6:01,RW,68,5:00,Left-footed shot,Pedro
Cristiano Ronaldo,14/15,UEFA Champions League,last 16,2015-03-10,H,Real Madrid,FC Schalke 04,3:04,CF,45,2:02,Header,Fabio CoentrÃ£o
Cristiano Ronaldo,14/15,UEFA Champions League,last 16,2015-03-10,H,Real Madrid,FC Schalke 04,3:04,CF,25,1:01,Header,Toni Kroos
Lionel Messi,14/15,LaLiga,27,2015-03-14,A,FC Barcelona,SD Eibar,0:02,RW ,31,0:01,Penalty,
Lionel Messi,14/15,LaLiga,27,2015-03-14,A,FC Barcelona,SD Eibar,0:02,RW ,55,0:02,Header,Ivan Rakitic
Cristiano Ronaldo,14/15,LaLiga,28,2015-03-22,A,Real Madrid,FC Barcelona,2:01,LW,31,1:01,Right-footed shot,Karim Benzema
Cristiano Ronaldo,14/15,LaLiga,29,2015-04-05,H,Real Madrid,Granada CF,9:01,CF,54,6:00,Header,Gareth Bale
Cristiano Ronaldo,14/15,LaLiga,29,2015-04-05,H,Real Madrid,Granada CF,9:01,CF,38,4:00,Long distance kick,Gareth Bale
Cristiano Ronaldo,14/15,LaLiga,29,2015-04-05,H,Real Madrid,Granada CF,9:01,CF,36,3:00,Right-footed shot,
Cristiano Ronaldo,14/15,LaLiga,29,2015-04-05,H,Real Madrid,Granada CF,9:01,CF,30,2:00,Right-footed shot,James Rodriguez
Cristiano Ronaldo,14/15,LaLiga,29,2015-04-05,H,Real Madrid,Granada CF,9:01,CF,90,9:01,Header,Luka Modric
Cristiano Ronaldo,14/15,LaLiga,30,2015-04-08,A,Real Madrid,Rayo Vallecano,0:02,LW,68,0:01,Header,Daniel Carvajal
Lionel Messi,14/15,LaLiga,30,2015-04-08,H,FC Barcelona,UD Almera,4:00,RW,33,1:00,Left-footed shot,Marc Bartra
Cristiano Ronaldo,14/15,LaLiga,31,2015-04-11,H,Real Madrid,SD Eibar,3:00,LW,21,1:00,Direct free kick,
Lionel Messi,14/15,LaLiga,31,2015-04-11,A,FC Barcelona,Sevilla FC,2:02,RW,15,0:01,Left-footed shot,Neymar
Lionel Messi,14/15,LaLiga,32,2015-04-18,H,FC Barcelona,Valencia CF,2:00,RW,90+4,2:00,Left-footed shot,
Cristiano Ronaldo,14/15,LaLiga,32,2015-04-18,H,Real Madrid,Malaga CF,3:01,CF,90+2,3:01,Left-footed shot,Chicharito
Lionel Messi,14/15,LaLiga,33,2015-04-25,A,FC Barcelona,RCD Espanyol Barcelona,0:02,RW,25,0:02,Left-footed shot,Luis Suarez
Lionel Messi,14/15,LaLiga,34,2015-04-28,H,FC Barcelona,Getafe CF,6:00,RW,47,6:00,Left-footed shot,Luis Suarez
Lionel Messi,14/15,LaLiga,34,2015-04-28,H,FC Barcelona,Getafe CF,6:00,RW,9,1:00,Penalty,
Cristiano Ronaldo,14/15,LaLiga,35,2015-05-02,A,Real Madrid,Sevilla FC,2:03,CF,36,0:01,Header,Isco
Cristiano Ronaldo,14/15,LaLiga,35,2015-05-02,A,Real Madrid,Sevilla FC,2:03,CF,37,0:02,Right-footed shot,Chicharito
Cristiano Ronaldo,14/15,LaLiga,35,2015-05-02,A,Real Madrid,Sevilla FC,2:03,CF,69,1:03,Header,Gareth Bale
Lionel Messi,14/15,LaLiga,35,2015-05-02,A,FC Barcelona,CÃ³rdoba CF,0:08,RW,80,0:06,Left-footed shot,Luis Suarez
Lionel Messi,14/15,LaLiga,35,2015-05-02,A,FC Barcelona,CÃ³rdoba CF,0:08,RW,47,0:03,Header,Dani Alves
Cristiano Ronaldo,14/15,UEFA Champions League,Semi-Finals,2015-05-05,A,Real Madrid,Juventus FC,2:01,CF,27,1:01,Header,James Rodriguez
Lionel Messi,14/15,UEFA Champions League,Semi-Finals,2015-05-06,H,FC Barcelona,Bayern Munich,3:00,RW,77,1:00,Left-footed shot,Dani Alves
Lionel Messi,14/15,UEFA Champions League,Semi-Finals,2015-05-06,H,FC Barcelona,Bayern Munich,3:00,RW,80,2:00,Right-footed shot,Ivan Rakitic
Cristiano Ronaldo,14/15,UEFA Champions League,Semi-Finals,2015-05-13,H,Real Madrid,Juventus FC,1:01,LW,23,1:00,Penalty,
Cristiano Ronaldo,14/15,LaLiga,37,2015-05-17,A,Real Madrid,RCD Espanyol Barcelona,1:04,LW,59,0:01,Left-footed shot,Karim Benzema
Cristiano Ronaldo,14/15,LaLiga,37,2015-05-17,A,Real Madrid,RCD Espanyol Barcelona,1:04,LW,83,1:03,Right-footed shot,Chicharito
Cristiano Ronaldo,14/15,LaLiga,37,2015-05-17,A,Real Madrid,RCD Espanyol Barcelona,1:04,LW,90+1,1:04,Header,James Rodriguez
Lionel Messi,14/15,LaLiga,37,2015-05-17,A,FC Barcelona,Atletico de Madrid,0:01,RW,65,0:01,Left-footed shot,Pedro
Lionel Messi,14/15,LaLiga,38,2015-05-23,H,FC Barcelona,Deportivo de La Coruaa,2:02,RW,59,2:00,Right-footed shot,Neymar
Cristiano Ronaldo,14/15,LaLiga,38,2015-05-23,H,Real Madrid,Getafe CF,7:03,LW,34,3:02,Penalty,
Cristiano Ronaldo,14/15,LaLiga,38,2015-05-23,H,Real Madrid,Getafe CF,7:03,LW,32,2:02,Direct free kick,
Cristiano Ronaldo,14/15,LaLiga,38,2015-05-23,H,Real Madrid,Getafe CF,7:03,LW,13,1:00,Header,Marcelo
Lionel Messi,14/15,LaLiga,38,2015-05-23,H,FC Barcelona,Deportivo de La Coruaa,2:02,RW,5,1:00,Header,Rafinha
Lionel Messi,14/15,Copa del Rey,Final,2015-05-30,A,FC Barcelona,Athletic Bilbao,1:03,RW,20,0:01,Solo run,
Lionel Messi,14/15,Copa del Rey,Final,2015-05-30,A,FC Barcelona,Athletic Bilbao,1:03,RW,74,0:03,Left-footed shot,Dani Alves
Lionel Messi,15/16,UEFA Super Cup,Final,2015-08-11,H,FC Barcelona,Sevilla FC,5:4 AET,RW,7,1:01,Direct free kick,
Lionel Messi,15/16,UEFA Super Cup,Final,2015-08-11,H,FC Barcelona,Sevilla FC,5:4 AET,RW,16,2:01,Direct free kick,
Lionel Messi,15/16,Supercopa,final,2015-08-17,H,FC Barcelona,Athletic Bilbao,1:01,RW,43,1:00,Left-footed shot,Luis Suarez
Cristiano Ronaldo,15/16,LaLiga,3,2015-09-12,A,Real Madrid,RCD Espanyol Barcelona,0:06,LW,62,0:05,Right-footed shot,Gareth Bale
Cristiano Ronaldo,15/16,LaLiga,3,2015-09-12,A,Real Madrid,RCD Espanyol Barcelona,0:06,LW,81,0:06,Right-footed shot,Lucas Vazquez
Cristiano Ronaldo,15/16,LaLiga,3,2015-09-12,A,Real Madrid,RCD Espanyol Barcelona,0:06,LW,20,0:03,Left-footed shot,Gareth Bale
Cristiano Ronaldo,15/16,LaLiga,3,2015-09-12,A,Real Madrid,RCD Espanyol Barcelona,0:06,LW,17,0:02,Penalty,
Cristiano Ronaldo,15/16,LaLiga,3,2015-09-12,A,Real Madrid,RCD Espanyol Barcelona,0:06,LW,7,0:01,Right-footed shot,Luka Modric
Lionel Messi,15/16,LaLiga,3,2015-09-12,A,FC Barcelona,Atletico de Madrid,1:02,RW,77,1:02,Left-footed shot,Luis Suarez
Cristiano Ronaldo,15/16,UEFA Champions League,Group Stage,2015-09-15,H,Real Madrid,Shakhtar Donetsk,4:00,LW,64,3:00,Penalty,
Cristiano Ronaldo,15/16,UEFA Champions League,Group Stage,2015-09-15,H,Real Madrid,Shakhtar Donetsk,4:00,LW,56,2:00,Penalty,
Cristiano Ronaldo,15/16,UEFA Champions League,Group Stage,2015-09-15,H,Real Madrid,Shakhtar Donetsk,4:00,LW,82,4:00,Header,
Lionel Messi,15/16,LaLiga,4,2015-09-20,H,FC Barcelona,Levante UD,4:01,AM ,90,4:01,Left-footed shot,Marc Bartra
Lionel Messi,15/16,LaLiga,4,2015-09-20,H,FC Barcelona,Levante UD,4:01,AM ,61,3:00,Penalty,
Cristiano Ronaldo,15/16,UEFA Champions League,Group Stage,2015-09-30,A,Real Madrid,MalmÃ¶ FF,0:02,LW ,90,0:02,Left-footed shot,Lucas Vazquez
Cristiano Ronaldo,15/16,UEFA Champions League,Group Stage,2015-09-30,A,Real Madrid,MalmÃ¶ FF,0:02,LW ,29,0:01,Right-footed shot,Isco
Cristiano Ronaldo,15/16,LaLiga,8,2015-10-17,H,Real Madrid,Levante UD,3:00,CF,30,2:00,Right-footed shot,Toni Kroos
Cristiano Ronaldo,15/16,LaLiga,9,2015-10-24,A,Real Madrid,Celta de Vigo,1:03,CF,8,0:01,Right-footed shot,Lucas Vazquez
Cristiano Ronaldo,15/16,LaLiga,10,2015-10-31,H,Real Madrid,UD Las Palmas,3:01,CF,14,2:00,Header,Marcelo
Lionel Messi,15/16,UEFA Champions League,Group Stage,2015-11-24,H,FC Barcelona,AS Roma,6:01,RW ,18,2:00,Left-footed shot,Luis Suarez
Lionel Messi,15/16,UEFA Champions League,Group Stage,2015-11-24,H,FC Barcelona,AS Roma,6:01,RW ,60,5:00,Tap-in,
Cristiano Ronaldo,15/16,UEFA Champions League,Group Stage,2015-11-25,A,Real Madrid,Shakhtar Donetsk,3:04,CF,70,0:04,Right-footed shot,Gareth Bale
Cristiano Ronaldo,15/16,UEFA Champions League,Group Stage,2015-11-25,A,Real Madrid,Shakhtar Donetsk,3:04,CF,18,0:01,Header,Gareth Bale
Lionel Messi,15/16,LaLiga,13,2015-11-28,H,FC Barcelona,Real Sociedad,4:00,RW,90+1,4:00,Left-footed shot,Neymar
Cristiano Ronaldo,15/16,LaLiga,13,2015-11-29,A,Real Madrid,SD Eibar,0:02,CF,82,0:02,Penalty,
Cristiano Ronaldo,15/16,LaLiga,14,2015-12-05,H,Real Madrid,Getafe CF,4:01,LW,38,4:00,Right-footed shot,Toni Kroos
Cristiano Ronaldo,15/16,UEFA Champions League,Group Stage,2015-12-08,H,Real Madrid,MalmÃ¶ FF,8:00,LW,47,4:00,Tap-in,
Cristiano Ronaldo,15/16,UEFA Champions League,Group Stage,2015-12-08,H,Real Madrid,MalmÃ¶ FF,8:00,LW,59,6:00,Right-footed shot,Isco
Cristiano Ronaldo,15/16,UEFA Champions League,Group Stage,2015-12-08,H,Real Madrid,MalmÃ¶ FF,8:00,LW,50,5:00,Right-footed shot,Danilo
Cristiano Ronaldo,15/16,UEFA Champions League,Group Stage,2015-12-08,H,Real Madrid,MalmÃ¶ FF,8:00,LW,39,3:00,Direct free kick,
