Player,Season,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing_Position,Minute,At_score,Type,Goal_assist
Cristiano Ronaldo,16/17,LaLiga,3,2016-09-10,H,Real Madrid,CA Osasuna,5:02,LW,6,1:00,Right-footed shot,Gareth Bale
Lionel Messi,16/17,UEFA Champions League,Group Stage,2016-09-13,H,FC Barcelona,Celtic FC,7:00,RW ,60,5:00,Left-footed shot,Luis Suarez
Lionel Messi,16/17,UEFA Champions League,Group Stage,2016-09-13,H,FC Barcelona,Celtic FC,7:00,RW ,27,2:00,Left-footed shot,Neymar
Lionel Messi,16/17,UEFA Champions League,Group Stage,2016-09-13,H,FC Barcelona,Celtic FC,7:00,RW ,3,1:00,Left-footed shot,Neymar
Cristiano Ronaldo,16/17,UEFA Champions League,Group Stage,2016-09-14,H,Real Madrid,Sporting CP,2:01,LW,89,1:01,Direct free kick,
Lionel Messi,16/17,LaLiga,4,2016-09-17,A,FC Barcelona,CD Leganes,1:05,RW,15,0:01,Left-footed shot,Luis Suarez
Lionel Messi,16/17,LaLiga,4,2016-09-17,A,FC Barcelona,CD Leganes,1:05,RW,55,0:04,Penalty,
Cristiano Ronaldo,16/17,UEFA Champions League,Group Stage,2016-09-27,A,Real Madrid,Borussia Dortmund,2:02,LW,17,0:01,Right-footed shot,Gareth Bale
Lionel Messi,16/17,LaLiga,8,2016-10-15,H,FC Barcelona,Deportivo de La Coruaa,4:00,RW,58,4:00,Left-footed shot,Neymar
Cristiano Ronaldo,16/17,LaLiga,8,2016-10-15,A,Real Madrid,Real Betis Balompie,1:06,LW,78,1:06,Right-footed shot,alvaro Morata
Lionel Messi,16/17,UEFA Champions League,Group Stage,2016-10-19,H,FC Barcelona,Manchester City,4:00,RW,17,1:00,Left-footed shot,Andres Iniesta
Lionel Messi,16/17,UEFA Champions League,Group Stage,2016-10-19,H,FC Barcelona,Manchester City,4:00,RW,61,2:00,Left-footed shot,Andres Iniesta
Lionel Messi,16/17,UEFA Champions League,Group Stage,2016-10-19,H,FC Barcelona,Manchester City,4:00,RW,69,3:00,Left-footed shot,Luis Suarez
Lionel Messi,16/17,LaLiga,9,2016-10-22,A,FC Barcelona,Valencia CF,2:03,RW,22,0:01,Left-footed shot,Ivan Rakitic
Lionel Messi,16/17,LaLiga,9,2016-10-22,A,FC Barcelona,Valencia CF,2:03,RW,90+4,2:03,Penalty,
Cristiano Ronaldo,16/17,LaLiga,10,2016-10-29,A,Real Madrid,Deportivo Alaves,1:04,LW,88,1:04,Right-footed shot,Marcelo
Cristiano Ronaldo,16/17,LaLiga,10,2016-10-29,A,Real Madrid,Deportivo Alaves,1:04,LW,17,1:01,Penalty,
Cristiano Ronaldo,16/17,LaLiga,10,2016-10-29,A,Real Madrid,Deportivo Alaves,1:04,LW,33,1:02,Right-footed shot,Karim Benzema
Lionel Messi,16/17,UEFA Champions League,Group Stage,2016-11-01,A,FC Barcelona,Manchester City,3:01,RW ,21,0:01,Left-footed shot,Neymar
Lionel Messi,16/17,LaLiga,11,2016-11-06,A,FC Barcelona,Sevilla FC,1:02,RW ,43,1:01,Left-footed shot,Neymar
Cristiano Ronaldo,16/17,LaLiga,12,2016-11-19,A,Real Madrid,Atletico de Madrid,0:03,CF,77,0:03,Right-footed shot,Gareth Bale
Cristiano Ronaldo,16/17,LaLiga,12,2016-11-19,A,Real Madrid,Atletico de Madrid,0:03,CF,71,0:02,Penalty,
Cristiano Ronaldo,16/17,LaLiga,12,2016-11-19,A,Real Madrid,Atletico de Madrid,0:03,CF,23,0:01,Direct free kick,
Lionel Messi,16/17,UEFA Champions League,Group Stage,2016-11-23,A,FC Barcelona,Celtic FC,0:02,RW ,24,0:01,Left-footed shot,Neymar
Lionel Messi,16/17,UEFA Champions League,Group Stage,2016-11-23,A,FC Barcelona,Celtic FC,0:02,RW ,55,0:02,Penalty,
Cristiano Ronaldo,16/17,LaLiga,13,2016-11-26,H,Real Madrid,Sporting GijÃ³n,2:01,LW,5,1:00,Penalty,
Cristiano Ronaldo,16/17,LaLiga,13,2016-11-26,H,Real Madrid,Sporting GijÃ³n,2:01,LW,18,2:00,Header,Nacho Fernandez
Lionel Messi,16/17,LaLiga,13,2016-11-27,A,FC Barcelona,Real Sociedad,1:01,RW ,59,1:01,Left-footed shot,Neymar
Lionel Messi,16/17,UEFA Champions League,Group Stage,2016-12-06,H,FC Barcelona,Borussia MÃ¶nchengladbach,4:00,RW,16,1:00,Left-footed shot,Arda Turan
Lionel Messi,16/17,LaLiga,15,2016-12-10,A,FC Barcelona,CA Osasuna,0:03,RW,72,0:02,Left-footed shot,Jordi Alba
Lionel Messi,16/17,LaLiga,15,2016-12-10,A,FC Barcelona,CA Osasuna,0:03,RW,90+2,0:03,Left-footed shot,Sergio Busquets
Cristiano Ronaldo,16/17,FIFA Club World Cup,Semi-Finals,2016-12-15,A,Real Madrid,CF America,0:02,LW,90+3,0:02,Right-footed shot,James Rodriguez
Lionel Messi,16/17,LaLiga,16,2016-12-18,H,FC Barcelona,RCD Espanyol Barcelona,4:01,RW,90,4:01,Left-footed shot,Luis Suarez
Cristiano Ronaldo,16/17,FIFA Club World Cup,Final,2016-12-18,H,Real Madrid,Kashima Antlers,4:2 AET,LW,97,3:02,Left-footed shot,Karim Benzema
Cristiano Ronaldo,16/17,FIFA Club World Cup,Final,2016-12-18,H,Real Madrid,Kashima Antlers,4:2 AET,LW,104,4:02,Left-footed shot,Toni Kroos
Cristiano Ronaldo,16/17,FIFA Club World Cup,Final,2016-12-18,H,Real Madrid,Kashima Antlers,4:2 AET,LW,60,2:02,Penalty,
Lionel Messi,16/17,Copa del Rey,last 16,2017-01-05,A,FC Barcelona,Athletic Bilbao,2:01,RW,52,2:01,Direct free kick,
Cristiano Ronaldo,16/17,LaLiga,17,2017-01-07,H,Real Madrid,Granada CF,5:00,LW,27,3:00,Header,Marcelo
Lionel Messi,16/17,LaLiga,17,2017-01-08,A,FC Barcelona,Villarreal CF,1:01,RW,90,1:01,Direct free kick,
Lionel Messi,16/17,Copa del Rey,last 16,2017-01-11,H,FC Barcelona,Athletic Bilbao,3:01,RW,78,3:01,Direct free kick,
Lionel Messi,16/17,LaLiga,18,2017-01-14,H,FC Barcelona,UD Las Palmas,5:00,RW ,52,2:00,Right-footed shot,
Cristiano Ronaldo,16/17,LaLiga,18,2017-01-15,A,Real Madrid,Sevilla FC,2:01,CF,67,0:01,Penalty,
Lionel Messi,16/17,LaLiga,19,2017-01-22,A,FC Barcelona,SD Eibar,0:04,RW ,50,0:02,Left-footed shot,Luis Suarez
Cristiano Ronaldo,16/17,Copa del Rey,Quarter-Finals,2017-01-25,A,Real Madrid,Celta de Vigo,2:02,CF,62,1:01,Direct free kick,
Lionel Messi,16/17,Copa del Rey,Quarter-Finals,2017-01-26,H,FC Barcelona,Real Sociedad,5:02,RW ,55,2:00,Penalty,
Cristiano Ronaldo,16/17,LaLiga,20,2017-01-29,H,Real Madrid,Real Sociedad,3:00,LW,51,2:00,Right-footed shot,Mateo Kovacic
Lionel Messi,16/17,Copa del Rey,Semi-Finals,2017-02-01,A,FC Barcelona,Atletico de Madrid,1:02,RW ,33,0:02,Left-footed shot,Ivan Rakitic
Lionel Messi,16/17,LaLiga,21,2017-02-04,H,FC Barcelona,Athletic Bilbao,3:00,RW ,40,2:00,Direct free kick,
Lionel Messi,16/17,LaLiga,22,2017-02-11,A,FC Barcelona,Deportivo Alaves,0:06,RW ,59,0:03,Left-footed shot,Neymar
Cristiano Ronaldo,16/17,LaLiga,22,2017-02-11,A,Real Madrid,CA Osasuna,1:03,CF,24,0:01,Right-footed shot,Karim Benzema
Lionel Messi,16/17,LaLiga,23,2017-02-19,H,FC Barcelona,CD Leganes,2:01,RW,90,2:01,Penalty,
Lionel Messi,16/17,LaLiga,23,2017-02-19,H,FC Barcelona,CD Leganes,2:01,RW,4,1:00,Right-footed shot,Luis Suarez
Cristiano Ronaldo,16/17,LaLiga,16,2017-02-22,A,Real Madrid,Valencia CF,2:01,LW,44,2:01,Header,Marcelo
Cristiano Ronaldo,16/17,LaLiga,24,2017-02-26,A,Real Madrid,Villarreal CF,2:03,LW,74,2:02,Penalty,
Lionel Messi,16/17,LaLiga,24,2017-02-26,A,FC Barcelona,Atletico de Madrid,1:02,RW,86,1:02,Left-footed shot,
Cristiano Ronaldo,16/17,LaLiga,25,2017-03-01,H,Real Madrid,UD Las Palmas,3:03,LW,89,3:03,Header,James Rodriguez
Cristiano Ronaldo,16/17,LaLiga,25,2017-03-01,H,Real Madrid,UD Las Palmas,3:03,LW,86,2:03,Penalty,
Lionel Messi,16/17,LaLiga,25,2017-03-01,H,FC Barcelona,Sporting GijÃ³n,6:01,RW ,9,1:00,Header,Javier Mascherano
Lionel Messi,16/17,LaLiga,26,2017-03-04,H,FC Barcelona,Celta de Vigo,5:00,AM ,24,1:00,Left-footed shot,Sergio Busquets
Lionel Messi,16/17,LaLiga,26,2017-03-04,H,FC Barcelona,Celta de Vigo,5:00,AM ,64,5:00,Left-footed shot,
Lionel Messi,16/17,UEFA Champions League,last 16,2017-03-08,H,FC Barcelona,Paris Saint-Germain,6:01,AM,50,3:00,Penalty,
Cristiano Ronaldo,16/17,LaLiga,27,2017-03-12,H,Real Madrid,Real Betis Balompie,2:01,LW,41,1:01,Header,Marcelo
Lionel Messi,16/17,LaLiga,28,2017-03-19,H,FC Barcelona,Valencia CF,4:02,AM,53,3:02,Right-footed shot,Javier Mascherano
Lionel Messi,16/17,LaLiga,28,2017-03-19,H,FC Barcelona,Valencia CF,4:02,AM,45,2:01,Penalty,
Lionel Messi,16/17,LaLiga,30,2017-04-05,H,FC Barcelona,Sevilla FC,3:00,RW,28,2:00,Right-footed shot,Luis Suarez
Lionel Messi,16/17,LaLiga,30,2017-04-05,H,FC Barcelona,Sevilla FC,3:00,RW,33,3:00,Left-footed shot,
Cristiano Ronaldo,16/17,UEFA Champions League,Quarter-Finals,2017-04-12,A,Real Madrid,Bayern Munich,1:02,LW,77,1:02,Right-footed shot,Marco Asensio
Cristiano Ronaldo,16/17,UEFA Champions League,Quarter-Finals,2017-04-12,A,Real Madrid,Bayern Munich,1:02,LW,47,1:01,Right-footed shot,Daniel Carvajal
Lionel Messi,16/17,LaLiga,32,2017-04-15,H,FC Barcelona,Real Sociedad,3:02,RW ,37,2:00,Tap-in,
Lionel Messi,16/17,LaLiga,32,2017-04-15,H,FC Barcelona,Real Sociedad,3:02,RW ,17,1:00,Left-footed shot,Luis Suarez
Cristiano Ronaldo,16/17,UEFA Champions League,Quarter-Finals,2017-04-18,H,Real Madrid,Bayern Munich,4:2 AET,CF,76,1:01,Header,Casemiro
Cristiano Ronaldo,16/17,UEFA Champions League,Quarter-Finals,2017-04-18,H,Real Madrid,Bayern Munich,4:2 AET,CF,105,2:02,Left-footed shot,Sergio Ramos
Cristiano Ronaldo,16/17,UEFA Champions League,Quarter-Finals,2017-04-18,H,Real Madrid,Bayern Munich,4:2 AET,CF,109,3:02,Right-footed shot,Marcelo
Lionel Messi,16/17,LaLiga,33,2017-04-23,A,FC Barcelona,Real Madrid,2:03,RW,90+2,2:03,Left-footed shot,Jordi Alba
Lionel Messi,16/17,LaLiga,33,2017-04-23,A,FC Barcelona,Real Madrid,2:03,RW,33,1:01,Left-footed shot,Ivan Rakitic
Lionel Messi,16/17,LaLiga,34,2017-04-26,H,FC Barcelona,CA Osasuna,7:01,AM ,61,4:01,Left-footed shot,Ivan Rakitic
Lionel Messi,16/17,LaLiga,34,2017-04-26,H,FC Barcelona,CA Osasuna,7:01,AM ,12,1:00,Left-footed shot,
Cristiano Ronaldo,16/17,LaLiga,35,2017-04-29,H,Real Madrid,Valencia CF,2:01,LW,27,1:00,Header,Daniel Carvajal
Cristiano Ronaldo,16/17,UEFA Champions League,Semi-Finals,2017-05-02,H,Real Madrid,Atletico de Madrid,3:00,CF,86,3:00,Right-footed shot,Lucas Vazquez
Cristiano Ronaldo,16/17,UEFA Champions League,Semi-Finals,2017-05-02,H,Real Madrid,Atletico de Madrid,3:00,CF,73,2:00,Right-footed shot,Karim Benzema
Cristiano Ronaldo,16/17,UEFA Champions League,Semi-Finals,2017-05-02,H,Real Madrid,Atletico de Madrid,3:00,CF,10,1:00,Header,Casemiro
Lionel Messi,16/17,LaLiga,36,2017-05-06,H,FC Barcelona,Villarreal CF,4:01,RW,82,4:01,Penalty,
Lionel Messi,16/17,LaLiga,36,2017-05-06,H,FC Barcelona,Villarreal CF,4:01,RW,45,2:01,Left-footed shot,Sergio Busquets
Cristiano Ronaldo,16/17,LaLiga,37,2017-05-14,H,Real Madrid,Sevilla FC,4:01,LW,78,3:01,Left-footed shot,Toni Kroos
Cristiano Ronaldo,16/17,LaLiga,37,2017-05-14,H,Real Madrid,Sevilla FC,4:01,LW,23,2:00,Right-footed shot,
Cristiano Ronaldo,16/17,LaLiga,21,2017-05-17,A,Real Madrid,Celta de Vigo,1:04,CF,48,0:02,Left-footed shot,Isco
Cristiano Ronaldo,16/17,LaLiga,21,2017-05-17,A,Real Madrid,Celta de Vigo,1:04,CF,10,0:01,Left-footed shot,
Cristiano Ronaldo,16/17,LaLiga,38,2017-05-21,A,Real Madrid,Malaga CF,0:02,CF,2,0:01,Right-footed shot,Isco
Lionel Messi,16/17,LaLiga,38,2017-05-21,H,FC Barcelona,SD Eibar,4:02,RW,90+2,4:02,Right-footed shot,
Lionel Messi,16/17,LaLiga,38,2017-05-21,H,FC Barcelona,SD Eibar,4:02,RW,75,3:02,Penalty,
Lionel Messi,16/17,Copa del Rey,Final,2017-05-27,H,FC Barcelona,Deportivo Alaves,3:01,RW,30,1:00,Left-footed shot,Neymar
Cristiano Ronaldo,16/17,UEFA Champions League,Final,2017-06-03,A,Real Madrid,Juventus FC,1:04,CF,64,1:03,Right-footed shot,Luka Modric
Cristiano Ronaldo,16/17,UEFA Champions League,Final,2017-06-03,A,Real Madrid,Juventus FC,1:04,CF,20,0:01,Right-footed shot,Daniel Carvajal
Cristiano Ronaldo,17/18,Supercopa,final,2017-08-13,A,Real Madrid,FC Barcelona,1:03,CF,80,1:02,Right-footed shot,Isco
Lionel Messi,17/18,Supercopa,final,2017-08-13,H,FC Barcelona,Real Madrid,1:03,RW,77,1:01,Penalty,
Lionel Messi,17/18,LaLiga,2,2017-08-26,A,FC Barcelona,Deportivo Alaves,0:02,CF,55,0:01,Left-footed shot,Jordi Alba
Lionel Messi,17/18,LaLiga,2,2017-08-26,A,FC Barcelona,Deportivo Alaves,0:02,CF,66,0:02,Left-footed shot,Paco Alcacer
Lionel Messi,17/18,LaLiga,3,2017-09-09,H,FC Barcelona,RCD Espanyol Barcelona,5:00,CF,26,1:00,Left-footed shot,Ivan Rakitic
Lionel Messi,17/18,LaLiga,3,2017-09-09,H,FC Barcelona,RCD Espanyol Barcelona,5:00,CF,35,2:00,Right-footed shot,Jordi Alba
Lionel Messi,17/18,LaLiga,3,2017-09-09,H,FC Barcelona,RCD Espanyol Barcelona,5:00,CF,67,3:00,Left-footed shot,Jordi Alba
Lionel Messi,17/18,UEFA Champions League,Group Stage,2017-09-12,H,FC Barcelona,Juventus FC,3:00,CF,45,1:00,Left-footed shot,Luis Suarez
Lionel Messi,17/18,UEFA Champions League,Group Stage,2017-09-12,H,FC Barcelona,Juventus FC,3:00,CF,69,3:00,Left-footed shot,
Cristiano Ronaldo,17/18,UEFA Champions League,Group Stage,2017-09-13,H,Real Madrid,APOEL Nicosia,3:00,CF,12,1:00,Counter attack goal,Gareth Bale
Cristiano Ronaldo,17/18,UEFA Champions League,Group Stage,2017-09-13,H,Real Madrid,APOEL Nicosia,3:00,CF,51,2:00,Penalty,
Lionel Messi,17/18,LaLiga,5,2017-09-19,H,FC Barcelona,SD Eibar,6:01,CF,21,1:00,Penalty,
Lionel Messi,17/18,LaLiga,5,2017-09-19,H,FC Barcelona,SD Eibar,6:01,CF,62,5:01,Left-footed shot,Paulinho
Lionel Messi,17/18,LaLiga,5,2017-09-19,H,FC Barcelona,SD Eibar,6:01,CF,59,4:01,Left-footed shot,Sergio Busquets
Lionel Messi,17/18,LaLiga,5,2017-09-19,H,FC Barcelona,SD Eibar,6:01,CF,87,6:01,Left-footed shot,Aleix Vidal
Cristiano Ronaldo,17/18,UEFA Champions League,Group Stage,2017-09-26,A,Real Madrid,Borussia Dortmund,1:03,CF,79,1:03,Right-footed shot,Luka Modric
Cristiano Ronaldo,17/18,UEFA Champions League,Group Stage,2017-09-26,A,Real Madrid,Borussia Dortmund,1:03,CF,49,0:02,Left-footed shot,Gareth Bale
Lionel Messi,17/18,LaLiga,7,2017-10-01,H,FC Barcelona,UD Las Palmas,3:00,SS,70,2:00,Left-footed shot,Denis Suarez
Lionel Messi,17/18,LaLiga,7,2017-10-01,H,FC Barcelona,UD Las Palmas,3:00,SS,77,3:00,Left-footed shot,Luis Suarez
Cristiano Ronaldo,17/18,LaLiga,8,2017-10-14,A,Real Madrid,Getafe CF,1:02,CF,85,1:02,Right-footed shot,Isco
Cristiano Ronaldo,17/18,UEFA Champions League,Group Stage,2017-10-17,H,Real Madrid,Tottenham Hotspur,1:01,LW,43,1:01,Penalty,
Lionel Messi,17/18,UEFA Champions League,Group Stage,2017-10-18,H,FC Barcelona,Olympiacos Piraeus,3:01,CF,61,2:00,Direct free kick,
Lionel Messi,17/18,LaLiga,10,2017-10-28,A,FC Barcelona,Athletic Bilbao,0:02,SS ,37,0:01,Left-footed shot,Jordi Alba
Cristiano Ronaldo,17/18,UEFA Champions League,Group Stage,2017-11-01,A,Real Madrid,Tottenham Hotspur,3:01,LW,80,3:01,Right-footed shot,Borja Mayoral
Cristiano Ronaldo,17/18,UEFA Champions League,Group Stage,2017-11-21,A,Real Madrid,APOEL Nicosia,0:06,LW,49,0:05,Header,Marcelo
Cristiano Ronaldo,17/18,UEFA Champions League,Group Stage,2017-11-21,A,Real Madrid,APOEL Nicosia,0:06,LW,54,0:06,Left-footed shot,
Cristiano Ronaldo,17/18,LaLiga,13,2017-11-25,H,Real Madrid,Malaga CF,3:02,CF,76,3:02,Penalty rebound,
Lionel Messi,17/18,LaLiga,14,2017-12-02,H,FC Barcelona,Celta de Vigo,2:02,SS,22,1:01,Left-footed shot,Paulinho
Cristiano Ronaldo,17/18,UEFA Champions League,Group Stage,2017-12-06,H,Real Madrid,Borussia Dortmund,3:02,LW,12,2:00,Right-footed shot,Mateo Kovacic
Cristiano Ronaldo,17/18,LaLiga,15,2017-12-09,H,Real Madrid,Sevilla FC,5:00,CF,31,3:00,Penalty,
Cristiano Ronaldo,17/18,LaLiga,15,2017-12-09,H,Real Madrid,Sevilla FC,5:00,CF,23,2:00,Right-footed shot,Marco Asensio
Lionel Messi,17/18,LaLiga,15,2017-12-10,A,FC Barcelona,Villarreal CF,0:02,RW ,83,0:02,Left-footed shot,Sergio Busquets
Cristiano Ronaldo,17/18,FIFA Club World Cup,Semi-Finals,2017-12-13,A,Real Madrid,Al-Jazira (Abu Dhabi),1:02,LW,53,1:01,Right-footed shot,Luka Modric
Cristiano Ronaldo,17/18,FIFA Club World Cup,Final,2017-12-16,H,Real Madrid,GrÃªmio Foot-Ball Porto Alegrense,1:00,LW,53,1:00,Direct free kick,
Lionel Messi,17/18,LaLiga,17,2017-12-23,A,FC Barcelona,Real Madrid,0:03,SS,64,0:02,Penalty,
Lionel Messi,17/18,LaLiga,18,2018-01-07,H,FC Barcelona,Levante UD,3:00,SS,12,1:00,Left-footed shot,Jordi Alba
Lionel Messi,17/18,Copa del Rey,last 16,2018-01-11,H,FC Barcelona,Celta de Vigo,5:00,SS,13,1:00,Left-footed shot,Jordi Alba
Lionel Messi,17/18,Copa del Rey,last 16,2018-01-11,H,FC Barcelona,Celta de Vigo,5:00,SS,15,2:00,Left-footed shot,Jordi Alba
Lionel Messi,17/18,LaLiga,19,2018-01-14,A,FC Barcelona,Real Sociedad,2:04,SS ,85,2:04,Direct free kick,
Cristiano Ronaldo,17/18,LaLiga,20,2018-01-21,H,Real Madrid,Deportivo de La CoruÃ±a,7:01,LW,78,5:01,Left-footed shot,Casemiro
Cristiano Ronaldo,17/18,LaLiga,20,2018-01-21,H,Real Madrid,Deportivo de La CoruÃ±a,7:01,LW,84,6:01,Header,Lucas Vazquez
Lionel Messi,17/18,LaLiga,20,2018-01-21,A,FC Barcelona,Real Betis Balompie,0:05,SS ,64,0:02,Left-footed shot,Sergio Busquets
Lionel Messi,17/18,LaLiga,20,2018-01-21,A,FC Barcelona,Real Betis Balompie,0:05,SS ,80,0:04,Left-footed shot,Luis Suarez
Lionel Messi,17/18,Copa del Rey,Quarter-Finals,2018-01-25,H,FC Barcelona,RCD Espanyol Barcelona,2:00,SS,25,2:00,Deflected shot on goal,
Cristiano Ronaldo,17/18,LaLiga,21,2018-01-27,A,Real Madrid,Valencia CF,1:04,LW,16,0:01,Penalty,
Cristiano Ronaldo,17/18,LaLiga,21,2018-01-27,A,Real Madrid,Valencia CF,1:04,LW,38,0:02,Penalty,
Lionel Messi,17/18,LaLiga,21,2018-01-28,H,FC Barcelona,Deportivo Alaves,2:01,SS,84,2:01,Direct free kick,
Cristiano Ronaldo,17/18,LaLiga,23,2018-02-10,H,Real Madrid,Real Sociedad,5:02,CF,80,5:01,Tap-in,
Cristiano Ronaldo,17/18,LaLiga,23,2018-02-10,H,Real Madrid,Real Sociedad,5:02,CF,27,2:00,Right-footed shot,Marcelo
Cristiano Ronaldo,17/18,LaLiga,23,2018-02-10,H,Real Madrid,Real Sociedad,5:02,CF,37,4:00,Header,Luka Modric
Cristiano Ronaldo,17/18,UEFA Champions League,last 16,2018-02-14,H,Real Madrid,Paris Saint-Germain,3:01,LW,45,1:01,Penalty,
Cristiano Ronaldo,17/18,UEFA Champions League,last 16,2018-02-14,H,Real Madrid,Paris Saint-Germain,3:01,LW,83,2:01,Tap-in,
Cristiano Ronaldo,17/18,LaLiga,24,2018-02-18,A,Real Madrid,Real Betis Balompie,3:05,CF,65,2:04,Right-footed shot,Casemiro
Lionel Messi,17/18,UEFA Champions League,last 16,2018-02-20,A,FC Barcelona,Chelsea FC,1:01,SS,75,1:01,Left-footed shot,Andres Iniesta
Cristiano Ronaldo,17/18,LaLiga,25,2018-02-24,H,Real Madrid,Deportivo Alaves,4:00,CF ,61,3:00,Right-footed shot,Lucas Vazquez
Lionel Messi,17/18,LaLiga,25,2018-02-24,H,FC Barcelona,Girona FC,6:01,SS ,36,3:01,Direct free kick,
Lionel Messi,17/18,LaLiga,25,2018-02-24,H,FC Barcelona,Girona FC,6:01,SS ,30,2:01,Left-footed shot,Luis Suarez
Cristiano Ronaldo,17/18,LaLiga,25,2018-02-24,H,Real Madrid,Deportivo Alaves,4:00,CF ,44,1:00,Left-footed shot,Karim Benzema
Lionel Messi,17/18,LaLiga,26,2018-03-01,A,FC Barcelona,UD Las Palmas,1:01,SS,21,0:01,Direct free kick,
Cristiano Ronaldo,17/18,LaLiga,27,2018-03-03,H,Real Madrid,Getafe CF,3:01,CF,78,3:01,Header,Marcelo
Cristiano Ronaldo,17/18,LaLiga,27,2018-03-03,H,Real Madrid,Getafe CF,3:01,CF,45+1,2:00,Left-footed shot,Karim Benzema
Lionel Messi,17/18,LaLiga,27,2018-03-04,H,FC Barcelona,Atletico de Madrid,1:00,SS,26,1:00,Direct free kick,
Cristiano Ronaldo,17/18,UEFA Champions League,last 16,2018-03-06,A,Real Madrid,Paris Saint-Germain,1:02,CF,51,0:01,Header,Lucas Vazquez
Cristiano Ronaldo,17/18,LaLiga,28,2018-03-10,A,Real Madrid,SD Eibar,1:02,CF,84,1:02,Header,Daniel Carvajal
Cristiano Ronaldo,17/18,LaLiga,28,2018-03-10,A,Real Madrid,SD Eibar,1:02,CF,33,0:01,Right-footed shot,Luka Modric
Lionel Messi,17/18,UEFA Champions League,last 16,2018-03-14,H,FC Barcelona,Chelsea FC,3:00,SS,63,3:00,Left-footed shot,Luis Suarez
Lionel Messi,17/18,UEFA Champions League,last 16,2018-03-14,H,FC Barcelona,Chelsea FC,3:00,SS,3,1:00,Right-footed shot,Luis Suarez
Cristiano Ronaldo,17/18,LaLiga,29,2018-03-18,H,Real Madrid,Girona FC,6:03,CF,90+1,6:03,Right-footed shot,Toni Kroos
Cristiano Ronaldo,17/18,LaLiga,29,2018-03-18,H,Real Madrid,Girona FC,6:03,CF,47,2:01,Left-footed shot,Karim Benzema
Lionel Messi,17/18,LaLiga,29,2018-03-18,H,FC Barcelona,Athletic Bilbao,2:00,SS ,30,2:00,Left-footed shot,Ousmane Dembele
Cristiano Ronaldo,17/18,LaLiga,29,2018-03-18,H,Real Madrid,Girona FC,6:03,CF,64,4:01,Tap-in,
Cristiano Ronaldo,17/18,LaLiga,29,2018-03-18,H,Real Madrid,Girona FC,6:03,CF,11,1:00,Left-footed shot,Toni Kroos
Lionel Messi,17/18,LaLiga,30,2018-03-31,A,FC Barcelona,Sevilla FC,2:02,RW,89,2:02,Left-footed shot,Philippe Coutinho
Cristiano Ronaldo,17/18,UEFA Champions League,Quarter-Finals,2018-04-03,A,Real Madrid,Juventus FC,0:03,CF,64,0:02,Right-footed shot,Daniel Carvajal
Cristiano Ronaldo,17/18,UEFA Champions League,Quarter-Finals,2018-04-03,A,Real Madrid,Juventus FC,0:03,CF,3,0:01,Right-footed shot,Isco
Lionel Messi,17/18,LaLiga,31,2018-04-07,H,FC Barcelona,CD Leganes,3:01,SS ,27,1:00,Direct free kick,
Lionel Messi,17/18,LaLiga,31,2018-04-07,H,FC Barcelona,CD Leganes,3:01,SS ,32,2:00,Left-footed shot,Philippe Coutinho
Lionel Messi,17/18,LaLiga,31,2018-04-07,H,FC Barcelona,CD Leganes,3:01,SS ,87,3:01,Left-footed shot,Ousmane Dembele
Cristiano Ronaldo,17/18,LaLiga,31,2018-04-08,H,Real Madrid,Atletico de Madrid,1:01,CF,53,1:00,Right-footed shot,Gareth Bale
Cristiano Ronaldo,17/18,UEFA Champions League,Quarter-Finals,2018-04-11,H,Real Madrid,Juventus FC,1:03,CF,90+7,1:03,Penalty,
Cristiano Ronaldo,17/18,LaLiga,33,2018-04-18,H,Real Madrid,Athletic Bilbao,1:01,CF,87,1:01,Right-footed shot,Luka Modric
Lionel Messi,17/18,Copa del Rey,Final,2018-04-21,A,FC Barcelona,Sevilla FC,0:05,SS,31,0:02,Left-footed shot,Jordi Alba
Lionel Messi,17/18,LaLiga,35,2018-04-29,A,FC Barcelona,Deportivo de La Coruaa,2:04,CF ,85,2:04,Left-footed shot,Luis Suarez
Lionel Messi,17/18,LaLiga,35,2018-04-29,A,FC Barcelona,Deportivo de La Coruaa,2:04,CF ,38,0:02,Left-footed shot,Luis Suarez
Lionel Messi,17/18,LaLiga,35,2018-04-29,A,FC Barcelona,Deportivo de La Coruaa,2:04,CF ,82,2:03,Right-footed shot,Luis Suarez
Lionel Messi,17/18,LaLiga,36,2018-05-06,H,FC Barcelona,Real Madrid,2:02,SS,52,2:01,Left-footed shot,Luis Suarez
Cristiano Ronaldo,17/18,LaLiga,36,2018-05-06,A,Real Madrid,FC Barcelona,2:02,LW,14,1:01,Right-footed shot,Karim Benzema
Lionel Messi,17/18,LaLiga,34,2018-05-09,H,FC Barcelona,Villarreal CF,5:01,CF,45,3:00,Left-footed shot,Andres Iniesta
Cristiano Ronaldo,17/18,LaLiga,38,2018-05-19,A,Real Madrid,Villarreal CF,2:02,CF,32,0:02,Header,Marcelo
Lionel Messi,18/19,LaLiga,1,2018-08-18,H,FC Barcelona,Deportivo Alaves,3:00,RW ,90+2,3:00,Left-footed shot,Luis Suarez
Lionel Messi,18/19,LaLiga,1,2018-08-18,H,FC Barcelona,Deportivo Alaves,3:00,RW ,64,1:00,Direct free kick,
